BCD,AREATITLE,APRK,AIDL
GV,Vancouver%20West,"37,44,36,26,10105,41,21,32,30,28,23,33,22,39,24,43,29,40,34,853,31,35,42,27","37,44,36,26,10105,41,21,32,30,28,23,33,22,39,24,43,29,40,34,853,31,35,42,27"
GV,Vancouver%20East,"236,233,241,245,244,242,235,240,246,239,247,237,855,432,238,234,243","236,233,241,245,244,242,235,240,246,239,247,237,855,432,238,234,243"
GV,Burnaby,"251,265,273,248,250,280,269,253,259,255,249,266,277,261,272,858,260,262,270,258,271,264,256,263,257,281,274,267,857,254,282,275,278,276,856,279,268","251,265,273,248,250,280,269,253,259,255,249,266,277,261,272,858,260,262,270,258,271,264,256,263,257,281,274,267,857,254,282,275,278,276,856,279,268"
GV,New%20Westminister,"288,292,283,291,287,290,286,295,293,1539,294,284,1540,289,285","288,292,283,291,287,290,286,295,293,1539,294,284,1540,289,285"
GV,Coquitlam,"344,339,330,341,337,334,331,332,429,340,328,338,335,325,327,343,324,342,428,326,336,430,329,333","344,339,330,341,337,334,331,332,429,340,328,338,335,325,327,343,324,342,428,326,336,430,329,333"
GV,Maple%20Ridge,"886,892,891,882,879,890,884,881,887,894,359,893,889","886,892,891,882,879,890,884,881,887,894,359,893,889"
