BCD,AREATITLE,APRK,AIDL
GV,Vancouver%20West,"37,44,36,26,10105,41,21,32,30,28,23,33,22,39,24,43,29,40,34,853,31,35,42,27","37,44,36,26,10105,41,21,32,30,28,23,33,22,39,24,43,29,40,34,853,31,35,42,27"
GV,Vancouver%20East,"233,234,236,235,237,238,239,240,241,242,243,244,245,246,247,855,432","233,234,236,235,237,238,239,240,241,242,243,244,245,246,247,855,432"
GV,Burnaby,"248,249,250,251,253,254,255,256,257,258,259,260,261,856,857,858,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282","248,249,250,251,253,254,255,256,257,258,259,260,261,856,857,858,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282"
GV,New%20Westminister,"1539,1540,283,284,285,286,287,288,289,290,291,292,293,294,295","1539,1540,283,284,285,286,287,288,289,290,291,292,293,294,295"
GV,Coquitlam,"324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,428,429,430","324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,428,429,430"
GV,Maple%20Ridge,"879,881,882,884,886,887,889,890,891,892,893,894,359","879,881,882,884,886,887,889,890,891,892,893,894,359"
